data,preco_medio,media_3_anos
1997-09-01,18.447999999999997,18.447999999999997
1997-10-01,19.958064516129035,19.958064516129035
1997-11-01,19.227666666666668,19.227666666666668
1997-12-01,17.207741935483874,17.207741935483874
1998-01-01,15.189354838709678,19.313655913978494
1998-02-01,14.161785714285713,18.69840817963111
1998-03-01,13.114193548387098,18.645913978494622
1998-04-01,13.515666666666668,18.991888888888887
1998-05-01,14.331935483870968,18.853548387096776
1998-06-01,12.184666666666667,17.782888888888884
1998-07-01,12.048064516129033,17.951182795698923
1998-08-01,11.960645161290323,18.400645161290324
1998-09-01,13.391333333333334,19.248111111111108
1998-10-01,12.715806451612902,20.078494623655914
1998-11-01,11.07,19.643444444444444
1998-12-01,9.779677419354838,19.635591397849467
1999-01-01,11.109354838709677,11.109354838709677
1999-02-01,10.25607142857143,10.25607142857143
